id,t1,t2,label,mask,change_ratio
BCD_r0055_c0000,T1/BCD_r0055_c0000.png,T2/BCD_r0055_c0000.png,0,masks/BCD_r0055_c0000.png,0.00000000
BCD_r0055_c0001,T1/BCD_r0055_c0001.png,T2/BCD_r0055_c0001.png,0,masks/BCD_r0055_c0001.png,0.00000000
BCD_r0055_c0002,T1/BCD_r0055_c0002.png,T2/BCD_r0055_c0002.png,0,masks/BCD_r0055_c0002.png,0.00000000
BCD_r0055_c0003,T1/BCD_r0055_c0003.png,T2/BCD_r0055_c0003.png,0,masks/BCD_r0055_c0003.png,0.00000000
BCD_r0055_c0004,T1/BCD_r0055_c0004.png,T2/BCD_r0055_c0004.png,0,masks/BCD_r0055_c0004.png,0.00000000
BCD_r0055_c0005,T1/BCD_r0055_c0005.png,T2/BCD_r0055_c0005.png,0,masks/BCD_r0055_c0005.png,0.00000000
BCD_r0055_c0006,T1/BCD_r0055_c0006.png,T2/BCD_r0055_c0006.png,0,masks/BCD_r0055_c0006.png,0.00000000
BCD_r0055_c0007,T1/BCD_r0055_c0007.png,T2/BCD_r0055_c0007.png,0,masks/BCD_r0055_c0007.png,0.00000000
BCD_r0055_c0008,T1/BCD_r0055_c0008.png,T2/BCD_r0055_c0008.png,0,masks/BCD_r0055_c0008.png,0.00000000
BCD_r0055_c0009,T1/BCD_r0055_c0009.png,T2/BCD_r0055_c0009.png,0,masks/BCD_r0055_c0009.png,0.00000000
BCD_r0055_c0010,T1/BCD_r0055_c0010.png,T2/BCD_r0055_c0010.png,0,masks/BCD_r0055_c0010.png,0.00000000
BCD_r0055_c0011,T1/BCD_r0055_c0011.png,T2/BCD_r0055_c0011.png,1,masks/BCD_r0055_c0011.png,0.05231585
BCD_r0055_c0012,T1/BCD_r0055_c0012.png,T2/BCD_r0055_c0012.png,0,masks/BCD_r0055_c0012.png,0.00000000
BCD_r0055_c0013,T1/BCD_r0055_c0013.png,T2/BCD_r0055_c0013.png,0,masks/BCD_r0055_c0013.png,0.00000000
BCD_r0055_c0014,T1/BCD_r0055_c0014.png,T2/BCD_r0055_c0014.png,0,masks/BCD_r0055_c0014.png,0.00000000
BCD_r0055_c0015,T1/BCD_r0055_c0015.png,T2/BCD_r0055_c0015.png,0,masks/BCD_r0055_c0015.png,0.00000000
BCD_r0055_c0016,T1/BCD_r0055_c0016.png,T2/BCD_r0055_c0016.png,1,masks/BCD_r0055_c0016.png,0.05574378
BCD_r0055_c0017,T1/BCD_r0055_c0017.png,T2/BCD_r0055_c0017.png,0,masks/BCD_r0055_c0017.png,0.00000000
BCD_r0055_c0018,T1/BCD_r0055_c0018.png,T2/BCD_r0055_c0018.png,1,masks/BCD_r0055_c0018.png,0.54306840
BCD_r0055_c0019,T1/BCD_r0055_c0019.png,T2/BCD_r0055_c0019.png,1,masks/BCD_r0055_c0019.png,0.03398039
BCD_r0055_c0020,T1/BCD_r0055_c0020.png,T2/BCD_r0055_c0020.png,0,masks/BCD_r0055_c0020.png,0.00000000
BCD_r0055_c0021,T1/BCD_r0055_c0021.png,T2/BCD_r0055_c0021.png,0,masks/BCD_r0055_c0021.png,0.00000000
BCD_r0055_c0022,T1/BCD_r0055_c0022.png,T2/BCD_r0055_c0022.png,1,masks/BCD_r0055_c0022.png,0.09343112
BCD_r0055_c0023,T1/BCD_r0055_c0023.png,T2/BCD_r0055_c0023.png,1,masks/BCD_r0055_c0023.png,0.44722577
BCD_r0055_c0024,T1/BCD_r0055_c0024.png,T2/BCD_r0055_c0024.png,1,masks/BCD_r0055_c0024.png,0.02632733
BCD_r0055_c0025,T1/BCD_r0055_c0025.png,T2/BCD_r0055_c0025.png,0,masks/BCD_r0055_c0025.png,0.00000000
BCD_r0055_c0026,T1/BCD_r0055_c0026.png,T2/BCD_r0055_c0026.png,0,masks/BCD_r0055_c0026.png,0.00000000
BCD_r0055_c0027,T1/BCD_r0055_c0027.png,T2/BCD_r0055_c0027.png,0,masks/BCD_r0055_c0027.png,0.00000000
BCD_r0055_c0028,T1/BCD_r0055_c0028.png,T2/BCD_r0055_c0028.png,0,masks/BCD_r0055_c0028.png,0.00000000
BCD_r0055_c0029,T1/BCD_r0055_c0029.png,T2/BCD_r0055_c0029.png,0,masks/BCD_r0055_c0029.png,0.00000000
BCD_r0055_c0030,T1/BCD_r0055_c0030.png,T2/BCD_r0055_c0030.png,0,masks/BCD_r0055_c0030.png,0.00000000
BCD_r0055_c0031,T1/BCD_r0055_c0031.png,T2/BCD_r0055_c0031.png,0,masks/BCD_r0055_c0031.png,0.00000000
BCD_r0055_c0032,T1/BCD_r0055_c0032.png,T2/BCD_r0055_c0032.png,0,masks/BCD_r0055_c0032.png,0.00000000
BCD_r0055_c0033,T1/BCD_r0055_c0033.png,T2/BCD_r0055_c0033.png,0,masks/BCD_r0055_c0033.png,0.00000000
BCD_r0055_c0034,T1/BCD_r0055_c0034.png,T2/BCD_r0055_c0034.png,1,masks/BCD_r0055_c0034.png,0.01622290
BCD_r0055_c0035,T1/BCD_r0055_c0035.png,T2/BCD_r0055_c0035.png,0,masks/BCD_r0055_c0035.png,0.00000000
BCD_r0055_c0036,T1/BCD_r0055_c0036.png,T2/BCD_r0055_c0036.png,0,masks/BCD_r0055_c0036.png,0.00000000
BCD_r0055_c0037,T1/BCD_r0055_c0037.png,T2/BCD_r0055_c0037.png,0,masks/BCD_r0055_c0037.png,0.00000000
BCD_r0055_c0038,T1/BCD_r0055_c0038.png,T2/BCD_r0055_c0038.png,0,masks/BCD_r0055_c0038.png,0.00000000
BCD_r0055_c0039,T1/BCD_r0055_c0039.png,T2/BCD_r0055_c0039.png,0,masks/BCD_r0055_c0039.png,0.00000000
BCD_r0055_c0040,T1/BCD_r0055_c0040.png,T2/BCD_r0055_c0040.png,0,masks/BCD_r0055_c0040.png,0.00000000
BCD_r0055_c0041,T1/BCD_r0055_c0041.png,T2/BCD_r0055_c0041.png,0,masks/BCD_r0055_c0041.png,0.00000000
BCD_r0055_c0042,T1/BCD_r0055_c0042.png,T2/BCD_r0055_c0042.png,0,masks/BCD_r0055_c0042.png,0.00000000
BCD_r0055_c0043,T1/BCD_r0055_c0043.png,T2/BCD_r0055_c0043.png,0,masks/BCD_r0055_c0043.png,0.00000000
BCD_r0055_c0044,T1/BCD_r0055_c0044.png,T2/BCD_r0055_c0044.png,0,masks/BCD_r0055_c0044.png,0.00000000
BCD_r0055_c0045,T1/BCD_r0055_c0045.png,T2/BCD_r0055_c0045.png,1,masks/BCD_r0055_c0045.png,0.03234614
BCD_r0055_c0046,T1/BCD_r0055_c0046.png,T2/BCD_r0055_c0046.png,0,masks/BCD_r0055_c0046.png,0.00000000
BCD_r0055_c0047,T1/BCD_r0055_c0047.png,T2/BCD_r0055_c0047.png,0,masks/BCD_r0055_c0047.png,0.00000000
